Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Markus Holgersson,NY ,D,31,31,2790,3,0,11,5,23,15,0,2,0,2012
Matt Hedges,DAL,D,28,23,2022,3,0,12,5,20,22,1,1,0,2012
Austin Berry,CHI,D,28,28,2520,3,0,14,5,16,19,0,2,0,2012
Terry Dunfield,TOR,M,30,30,2493,3,0,24,11,49,19,7,7,0,2012
Jeff Larentowicz,ATL,M,32,32,2779,3,0,61,16,61,41,0,8,1,2012
David Ferreira,DAL,M,17,16,1427,2,9,21,9,7,53,2,3,0,2012
Martin Rivero,COL,M,30,30,2597,2,8,61,19,23,61,4,3,0,2012
Brian Mullan,COL,D,28,25,2116,2,7,16,6,26,33,5,1,0,2012
Ramiro Corrales,SJ ,M,22,19,1667,2,7,20,6,21,21,1,7,1,2012
Brandon Barklage,NY ,D,19,16,1360,2,5,9,2,20,7,0,1,0,2012
Chris Tierney,NE ,D-M,28,26,2379,2,5,22,10,15,13,0,4,0,2012
Sebastián Grazzini,CHI,M,14,14,1103,2,5,30,15,18,22,2,4,0,2012
Justin Mapp,MTL,M,27,21,1641,2,5,34,14,8,20,6,0,0,2012
Brandon McDonald,DC ,D,33,33,2963,2,4,18,3,29,16,1,4,0,2012
Danny Cruz,DC ,M-F,28,24,1868,2,4,39,10,30,40,4,2,0,2012
Kosuke Kimura,COL,D,29,28,2363,2,3,6,3,20,22,0,2,0,2012
Andre Hainault,HOU,D,25,24,2035,2,3,12,6,25,6,4,2,0,2012
Zach Loyd,DAL,D,32,31,2696,2,3,15,3,36,31,0,4,2,2012
Reggie Lambe,TOR,M,27,22,1845,2,3,22,13,24,29,4,3,0,2012
Adam Moffat,HOU,M,23,22,1930,2,3,28,7,28,19,0,2,1,2012
Khari Stephenson,SJ ,M,27,10,1052,2,3,31,10,28,3,1,2,0,2012
Conor Casey,COL,F,18,13,1156,2,3,38,12,25,8,13,1,0,2012
Todd Dunivant,LA ,D,29,29,2544,2,2,8,2,18,17,3,2,0,2012
Daniel Paladini,CHI,M,15,7,691,2,2,13,5,12,5,0,1,0,2012
Alain Rochat,VAN,D,27,27,2323,2,2,16,6,38,23,1,7,0,2012
Diego Fagundez,NE,M,20,8,770,2,2,18,9,6,6,4,0,0,2012
Jonny Steele,RSL,M,28,11,1179,2,2,19,4,29,14,1,6,0,2012
Lamar Neagle,MTL,M,23,11,1086,2,2,23,5,10,12,6,1,0,2012
Paulo Jr.,RSL,F,22,12,848,2,2,26,12,13,7,12,0,0,2012
Fernando Cárdenas,NE ,F,27,9,1016,2,2,27,10,13,14,5,1,1,2012
Tony Tchani,CLB,M,22,14,1331,2,2,30,5,23,21,0,3,0,2012
Torsten Frings,TOR,M,20,20,1669,2,2,30,10,20,17,1,5,0,2012
Nick LaBrocca,CHV,M,29,26,2293,2,2,36,14,27,33,5,3,0,2012
Marcelo Sarvas,LA ,M,27,22,1951,2,2,41,11,57,49,1,5,0,2012
Lewis Neal,DC ,M,18,7,717,2,1,7,2,3,3,1,1,0,2012
Kenny Miller,VAN,F,13,8,716,2,1,11,4,9,7,9,0,0,2012
Blake Brettschneider,NE ,F,17,10,892,2,1,17,9,10,11,10,0,0,2012
Víctor Bernárdez,SJ ,D,24,24,2088,2,1,19,4,30,17,1,6,0,2012
Bobby Boswell,HOU,D,33,33,2930,2,1,20,7,22,15,0,4,0,2012
Jamie Smith,COL,M,10,1,226,2,0,4,3,1,3,0,0,0,2012
Sinisa Ubiparipovic,MTL,F-M,12,3,325,2,0,5,2,5,3,0,1,0,2012
Tyrone Marshall,COL,D,16,13,1128,2,0,7,3,21,7,0,3,1,2012
Heath Pearce,CHV,D,28,28,2504,2,0,7,4,9,20,0,1,0,2012
Ricardo Villar,DAL,M,9,8,609,2,0,11,6,7,18,1,0,0,2012
A.J. Soares,NE ,D,30,30,2611,2,0,11,5,29,23,1,3,0,2012
Nat Borchers,RSL,D,26,26,2340,2,0,12,6,16,11,1,0,0,2012
José Erick Correa,CHV,F,16,7,695,2,0,15,3,13,10,3,1,0,2012
Scott Sealy,DAL,F,16,8,641,2,0,16,6,8,7,8,0,0,2012
Andrew Wiedeman,DAL,F,20,8,897,2,0,17,5,5,8,3,0,0,2012
Alejandro Moreno,CHV,F,22,17,1520,2,0,18,5,36,42,9,1,0,2012
Chad Marshall,CLB,D,24,24,2146,2,0,22,8,15,15,3,1,0,2012
Jerry Bengtson,HON,F,13,10,942,2,0,22,8,15,17,9,1,0,2012
Carlos Valdés,PHI,D,33,33,2923,2,0,24,5,36,34,1,4,0,2012
Alex,CHI,M,17,6,705,2,0,29,9,14,18,1,1,0,2012
Shea Salinas,SJ,M,19,11,1099,1,7,17,5,16,10,1,1,0,2012
Branko Boskovic,DC ,M,26,12,1081,1,7,20,8,22,18,0,1,1,2012
Sam Cronin,SJ ,M,31,30,2578,1,6,25,3,37,21,0,3,0,2012
Julian de Guzman,DAL,M,28,21,1957,1,5,32,5,37,23,1,6,0,2012
Franck Songo'o,POR,M,27,21,1732,1,5,47,18,35,44,5,7,0,2012
Michael Farfan,PHI,M,32,31,2802,1,5,54,15,74,64,2,7,0,2012
Justin Morrow,TOR,D,33,33,2970,1,4,6,2,25,30,0,2,0,2012
Lee Young-Pyo,VAN,D,33,33,2970,1,4,7,2,23,29,2,2,0,2012
Alex Caskey,SEA,M,20,12,1093,1,4,19,5,21,17,0,0,0,2012
Rafael Baca,SJ ,M,33,31,2551,1,4,24,7,22,33,4,4,0,2012
Sal Zizzo,POR,D,20,12,1174,1,4,24,6,4,22,2,2,0,2012
Pável Pardo,CHI,M,28,27,2386,1,4,25,8,19,19,1,4,0,2012
Chad Barrett,LA ,F,18,7,677,1,3,14,2,6,7,3,1,0,2012
Luis Gil,RSL,M,29,19,1610,1,3,22,5,17,12,0,2,0,2012
Josh Williams,CLB,D,30,27,2429,1,3,24,8,30,20,1,1,1,2012
Tim Cahill,NY ,M,12,12,1080,1,3,24,8,27,21,2,2,0,2012
Eric Avila,TOR,M,24,16,1366,1,3,27,6,14,17,0,1,0,2012
Daniel Woolard,DC ,D,20,20,1754,1,2,5,2,12,16,1,0,0,2012
Jordan Harvey,LAFC,D,26,18,1737,1,2,6,1,21,12,1,3,0,2012
Bobby Convey,KC ,M,16,14,989,1,2,7,3,5,7,0,1,0,2012
Hector Jimenez,CLB,M,15,13,920,1,2,8,3,9,6,3,0,1,2012
Sheanon Williams,PHI,D-M,28,28,2486,1,2,14,6,26,32,2,5,1,2012
Hassoun Camara,MTL,D,20,19,1663,1,2,15,4,21,14,0,2,1,2012
Mehdi Ballouchy,NY ,M,22,14,1116,1,2,15,3,22,20,0,3,0,2012
Casey Townsend,CHV,F,17,10,907,1,2,17,8,11,9,6,3,0,2012
Chris Birchall,CLB,M,18,17,1515,1,2,18,6,16,16,1,4,0,2012
Kalif Alhassan,POR,M,16,10,827,1,2,19,6,5,21,1,1,0,2012
Ryan Guy,NE ,M,23,20,1832,1,2,34,12,21,18,7,3,0,2012
Osvaldo Alonso,MIN,M,30,30,2688,1,2,41,13,37,52,0,8,0,2012
Benny Feilhaber,NE ,M,29,23,2147,1,2,42,16,30,70,1,5,1,2012
Zarek Valentin,HOU,D,15,14,1161,1,1,2,1,8,6,0,1,0,2012
Jonathan Top,DAL,F,4,1,101,1,1,2,2,3,1,0,0,0,2012
Jose Villarreal,LA ,M,10,0,122,1,1,3,2,7,2,0,1,0,2012
Luiz Camargo,HOU,M,26,16,1425,1,1,6,2,23,26,2,1,0,2012
Sebastián Miranda,CLB,D,33,33,2882,1,1,6,2,18,9,1,3,0,2012
Steve Zakuani,SEA,M,8,4,320,1,1,7,4,0,4,1,0,0,2012
Wilman Conde,NY ,D,17,16,1433,1,1,7,1,27,6,0,3,0,2012
Marcelo Saragosa,DC ,M,16,12,1120,1,1,8,4,32,16,0,4,0,2012
Martín Bonjour,VAN,D,28,27,2396,1,1,8,2,43,16,2,7,0,2012
Sammy Ochoa,SEA,F,9,3,324,1,1,9,3,5,7,0,0,0,2012
Omar Gonzalez,TOR,D,14,13,1147,1,1,10,3,12,9,0,2,0,2012
Doneil Henry,TOR,D,18,11,1139,1,1,10,3,18,8,1,3,0,2012
Zach Scott,SEA,D,20,16,1437,1,1,11,2,27,7,1,5,1,2012
Quincy Amarikwa,COL,F,14,6,601,1,1,12,4,13,12,1,0,0,2012
Jorge Villafaña,POR,F,14,9,906,1,1,12,2,15,16,2,1,0,2012
Jay DeMerit,VAN,D,31,31,2726,1,1,13,5,18,26,0,4,0,2012
Jair Benítez,DAL,D,28,27,2397,1,1,15,3,16,48,0,3,1,2012
Jermaine Taylor,HOU,D,27,26,2334,1,1,16,3,15,3,0,2,0,2012
Andy Rose,VAN,M,23,11,1156,1,1,17,4,16,9,0,4,0,2012
Jalil Anibaba,NSH,D,33,32,2868,1,1,18,5,22,12,0,1,1,2012
Brian Carroll,PHI,M,33,32,2898,1,1,20,4,37,15,0,4,0,2012
Keon Daniel,PHI,M,22,17,1517,1,1,20,4,19,22,0,0,1,2012
Laurent Courtois ,CHV,M,17,9,773,1,1,21,6,11,7,1,0,0,2012
Rodney Wallace,POR,D,19,14,1224,1,1,25,9,23,10,1,3,0,2012
Paulo Nagamura,KC ,M,27,19,1757,1,1,37,5,30,19,1,4,0,2012
Andrew Jacobson,DAL,M,31,31,2597,1,1,40,8,47,46,3,6,0,2012
Oriol Rosell,ORL,M-D,5,1,127,1,0,1,1,2,1,0,0,0,2012
Ruben Luna,DAL,F,7,2,208,1,0,2,1,3,4,1,0,0,2012
Andrew Jean-Baptiste,POR,D,5,4,426,1,0,2,1,2,1,0,0,0,2012
Patrick Ianni,SEA,D-M,16,15,1357,1,0,2,1,13,11,0,1,0,2012
Darrius Barnes,NE ,D,13,11,1017,1,0,2,1,8,4,0,3,0,2012
Dejan Jakovic,LAFC,D,23,21,1861,1,0,2,2,19,26,0,4,0,2012
Pat Noonan,LA ,F,10,1,174,1,0,3,2,2,1,1,0,0,2012
Joseph Nane,COL,M,9,6,446,1,0,3,1,11,6,0,2,0,2012
Cole Grossman,CLB,M,10,5,500,1,0,3,1,10,3,0,1,1,2012
Emiliano Bonfigli,RSL,F,10,1,288,1,0,5,2,2,2,3,0,0,2012
Logan Pause,CHI,M,32,31,2424,1,0,5,2,11,17,0,0,0,2012
Ugo Ihemelu,DAL,D,10,10,900,1,0,5,1,7,9,0,0,0,2012
Danny Califf,CHV,D,23,23,2034,1,0,6,1,19,21,1,2,0,2012
Robbie Russell,DC ,D,19,16,1355,1,0,7,3,13,7,0,0,0,2012
Jeremy Hall,TOR,D-M,23,19,1708,1,0,7,2,14,13,0,1,0,2012
Hernán Pertúz,DAL,D,30,24,2116,1,0,7,2,22,10,0,0,0,2012
Bernardo Añor,CLB,M,11,5,493,1,0,7,2,13,10,0,3,0,2012
Colin Clark,HOU,M,14,6,655,1,0,8,2,5,5,0,2,0,2012
Eric Brunner,POR,D,13,10,924,1,0,8,2,4,6,0,0,0,2012
 Christian Wilhelmsson,LA ,M,5,4,303,1,0,9,2,8,6,3,0,0,2012
Ricardo Clark,HOU,M,11,8,760,1,0,9,2,11,16,0,0,0,2012
José Moreno,NE ,F,7,5,376,1,0,10,7,4,4,4,1,0,2012
Arne Friedrich,CHI,D,23,22,1832,1,0,12,7,16,15,1,4,1,2012
Paolo Cardozo,CHV,M,10,9,692,1,0,13,4,8,20,1,0,0,2012
Carlos Rodríguez,DAL,M,24,12,1303,1,0,14,5,24,30,2,1,0,2012
Josué Martínez,PHI,F,18,6,594,1,0,14,6,15,7,9,1,0,2012
Dimitry Imbongo,NE ,F,9,4,382,1,0,15,3,16,18,5,2,0,2012
Olman Vargas,CLB,F,11,7,667,1,0,15,7,6,6,17,1,0,2012
Long Tan,DC ,F,10,3,259,1,0,15,5,5,8,4,0,0,2012
Oswaldo Minda,CHV,M,22,20,1748,1,0,17,3,41,21,0,13,0,2012
David Horst,POR,D,21,20,1845,1,0,17,3,30,23,0,1,0,2012
Júlio César,KC ,D,27,25,2071,1,0,18,2,32,20,0,4,0,2012
Chance Myers,KC ,D,30,28,2538,0,7,20,2,36,27,0,4,0,2012
Roy Miller,NY ,D,24,20,1662,0,6,6,0,14,14,1,2,0,2012
Steven Beitashour,SJ ,D,33,33,2955,0,6,11,2,29,30,1,6,0,2012
Eric Alexander,POR,M,24,14,1302,0,6,26,7,15,9,4,1,0,2012
Hunter Freeman,COL,D,19,18,1542,0,5,6,2,17,16,0,3,0,2012
Ashtone Morgan,RSL,D,30,27,2528,0,5,10,2,29,22,2,7,0,2012
Sean Franklin,LA ,D,34,33,2937,0,5,17,4,22,9,0,2,0,2012
Davide Chiumiento,VAN,M,16,15,1276,0,5,22,6,20,39,3,0,0,2012
Andy Najar,LAFC,D,25,22,2045,0,4,15,3,26,20,1,4,0,2012
Ryan Smith,CHV,M,21,12,1215,0,4,23,5,14,33,0,3,0,2012
Tressor Moreno,SJ ,M,12,6,557,0,3,3,0,3,6,0,1,0,2012
Rafa Márquez,NY ,M,15,13,987,0,3,6,1,15,19,0,3,0,2012
Shaun Francis,CLB,D,10,6,507,0,3,6,1,7,3,1,1,0,2012
Chris Korb,DC ,D,26,22,2051,0,3,6,2,18,17,1,3,0,2012
Christian Tiffert,SEA,M,12,11,978,0,3,7,1,19,9,4,4,0,2012
Marc Burch,SEA,D,29,19,1824,0,3,8,1,16,13,0,3,0,2012
Connor Lade,NY ,D,26,22,2088,0,3,8,2,27,20,3,4,1,2012
Ned Grabavoy,RSL,M,26,22,1946,0,3,10,5,16,28,2,0,0,2012
Nemanja Vukovic,CLB,D,15,12,1113,0,3,15,3,12,9,0,2,0,2012
Roger Torres,PHI,M,10,1,181,0,2,0,0,8,5,0,2,0,2012
Adam Johansson,SEA,D,21,21,1834,0,2,0,0,31,13,2,1,0,2012
Michael Stephens,LA ,M,23,6,724,0,2,3,1,7,2,1,1,0,2012
Miguel Aceval,TOR,D,5,5,416,0,2,3,0,3,2,0,0,0,2012
Brian Ownby,HOU,M,7,0,115,0,2,5,2,2,4,0,0,0,2012
Darren O'Dea,TOR,D,9,9,810,0,2,5,1,11,2,0,2,0,2012
Steven Smith,POR,D,22,22,1875,0,2,5,0,11,19,1,6,0,2012
Nick Soolsma,TOR,F,9,3,324,0,2,6,1,4,5,0,0,0,2012
Matt Besler,SKC,D,31,30,2769,0,2,7,1,26,12,1,3,0,2012
Tristan Bowen,CHV,F,5,3,248,0,2,7,3,4,5,1,0,0,2012
Chris Wingert,RSL,D,31,30,2603,0,2,8,1,34,13,2,7,0,2012
Corey Ashe,HOU,M,30,30,2625,0,2,8,1,28,40,4,3,0,2012
Richard Eckersley,TOR,D,33,32,2802,0,2,9,0,37,31,1,5,0,2012
James Riley,CHV,D,32,32,2880,0,2,10,0,25,22,1,2,1,2012
Geoff Cameron,HOU,D,15,15,1326,0,2,11,1,15,6,0,1,0,2012
Tony Beltran,RSL,D,32,32,2857,0,2,12,4,28,28,3,4,0,2012
Seth Sinovic,NE,D,30,30,2621,0,2,12,1,29,26,1,3,0,2012
Ben Zemanski,CHV,M,22,18,1649,0,2,15,6,24,24,0,3,0,2012
Roger Espinoza,SKC,M,26,26,2275,0,2,35,9,47,46,1,5,1,2012
Dilly Duka,CLB,M,20,14,1073,0,2,36,6,27,9,0,3,0,2012
Terukazu Tanaka,RSL,D,4,4,325,0,1,0,0,3,0,0,0,0,2012
Michael Harrington,KC ,D,11,9,877,0,1,0,0,9,5,1,1,0,2012
Stephen King,DC ,M,7,1,202,0,1,1,0,1,2,0,0,0,2012
Adam Cristman,LA ,F,2,1,69,0,1,2,0,2,2,0,1,0,2012
Peter Vagenas,CHV,M,13,11,842,0,1,2,1,10,13,1,1,0,2012
Dennis Iapichino,MTL,D,7,5,438,0,1,2,0,5,3,0,2,0,2012
Raymon Gaddis,PHI,D,18,17,1475,0,1,2,0,19,9,1,2,0,2012
Eric Gehrig,CLB,D,12,8,812,0,1,2,0,8,7,0,1,0,2012
Matt Stinson,TOR,M,4,1,89,0,1,2,0,2,0,0,0,0,2012
Kofi Sarkodie,HOU,D,10,7,695,0,1,2,0,6,8,1,0,0,2012
Blair Gavin,CHV,M,11,5,398,0,1,3,2,1,2,1,0,0,2012
Federico Puppo,CHI,F,11,1,216,0,1,3,3,4,5,4,1,0,2012
Cordell Cato,SEA,F,8,0,117,0,1,3,0,3,1,0,0,0,2012
Warren Creavalle,PHI,M,11,5,479,0,1,3,1,5,5,0,0,0,2012
Josh Wolff,DC ,F,9,1,223,0,1,3,2,3,3,2,1,0,2012
Tyson Wahl,COL,D,15,15,1350,0,1,3,1,25,7,1,5,0,2012
Jason Hernandez,SJ ,D,25,23,2090,0,1,3,0,14,10,0,1,2,2012
Peterson Joseph,KC ,M,10,4,263,0,1,3,0,6,7,0,3,1,2012
Teemu Tainio,NY ,M,14,9,782,0,1,4,0,11,9,0,2,0,2012
Sam Garza,SJ ,M,6,0,102,0,1,4,0,3,3,0,1,0,2012
Bryan Gaul,LA ,D,14,7,800,0,1,4,2,13,3,0,3,0,2012
Omar Salgado,VAN,F,7,5,398,0,1,4,1,7,8,1,1,0,2012
Kirk Urso,CLB,M,6,5,453,0,1,5,0,7,2,0,1,0,2012
Cesar Romero,CHV,F,12,4,392,0,1,5,0,9,4,6,1,0,2012
Florian Lechner,NE ,D,9,7,599,0,1,5,0,4,12,0,0,0,2012
Lloyd Sam,NY ,M-F,5,2,164,0,1,5,1,5,3,2,1,0,2012
Jhon Kennedy Hurtado,SEA,D,22,20,1791,0,1,5,0,27,11,0,1,1,2012
Rauwshan McKenzie,CHV,D,20,19,1732,0,1,5,2,18,7,0,2,0,2012
Jámison Olave,RSL,D,21,21,1734,0,1,6,0,27,17,0,5,1,2012
Aaron Schoenfeld ,MIN,F,9,3,298,0,1,6,3,9,3,4,2,0,2012
Gabriel Farfan,CHV,M,23,22,1960,0,1,6,1,34,32,2,5,1,2012
Soony Saad,KC ,F,9,2,305,0,1,7,2,5,5,0,0,0,2012
Stephen McCarthy,NE ,D,28,27,2308,0,1,7,3,22,28,1,2,1,2012
Hanyer Mosquera ,POR,D,26,25,2092,0,1,8,0,25,11,1,4,0,2012
Luis Zapata,COL,D,27,26,2336,0,1,8,3,33,27,0,2,0,2012
Nelson Rivas,MTL,D,11,11,858,0,1,8,1,9,11,0,2,1,2012
John Thorrington,VAN,M,19,14,1099,0,1,10,2,18,11,1,2,0,2012
Jeb Brovsky,MTL,D,28,25,2233,0,1,10,3,17,14,1,1,1,2012
Wells Thompson,CHI,D,21,5,664,0,1,11,2,11,13,2,1,0,2012
Dan Gargan,CHI,D,22,19,1754,0,1,12,2,38,12,1,5,0,2012
Perry Kitchen,LA,M,32,32,2804,0,1,12,0,43,33,1,2,0,2012
Chris Schuler,RSL,D,13,9,944,0,1,12,1,12,3,0,2,0,2012
Kevin Alston,NE ,D,31,31,2623,0,1,13,2,37,45,0,3,0,2012
Justin Braun,MTL,F,14,6,581,0,1,14,5,12,8,9,0,0,2012
Clyde Simms,NE ,M,29,29,2303,0,1,14,4,16,7,1,2,0,2012
Amobi Okugo,PHI,D-M,27,24,2230,0,1,16,2,24,24,2,3,0,2012
Jeff Parke,SEA,D,30,29,2568,0,1,17,3,32,27,0,3,0,2012
Collen Warner,COL,M,29,27,2431,0,1,32,2,44,43,0,6,0,2012
Steven Kinney,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Mike Seamon,SEA,M-F,1,0,50,0,0,0,0,0,0,0,0,0,2012
Russell Teibert,VAN,M,4,1,117,0,0,0,0,1,1,1,0,0,2012
Rich Balchan,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Nicholas Lindsay,TOR,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Digao,NY ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Zach Pfeffer,PHI,M,1,0,4,0,0,0,0,0,0,0,0,0,2012
Ross LaBauex,COL,M,2,1,79,0,0,0,0,5,4,1,0,0,2012
Cody Arnoux,RSL,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Matias Jara,DAL,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Corben Bone,CHI,M,2,0,26,0,0,0,0,0,0,0,0,0,2012
Birahim Diop,KC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Zak Boggs,NE ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Leonardo,LA ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Joey Gjertsen,SJ ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Moises Hernandez,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Victor Ulloa,MIA,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Josue Soto,HOU,D-M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Chris Taylor,POR,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Conor Shanosky,DC ,M-D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Davy Armstrong,COL,M,1,0,4,0,0,0,0,0,0,0,0,0,2012
Victor Pineda,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Steven Emory,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Corey Hertzog,NY ,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Tom Heinemann,CLB,F,1,0,5,0,0,0,0,0,0,1,0,0,2012
Korey Veeder,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Michael Tetteh,SEA,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Anthony Ampaipitakwong,SJ ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Dan Keat,LA ,M,1,1,90,0,0,0,0,2,0,0,1,0,2012
Michael Boxall,MIN,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Oscar Cordon,TOR,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Keith Makubuya,TOR,F,1,0,10,0,0,0,0,0,1,1,0,0,2012
Ethan White,DC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jack McBean,LA ,F,1,0,8,0,0,0,0,1,2,0,0,0,2012
Konrad Warzycha,KC ,M,1,0,1,0,0,0,0,0,0,0,0,0,2012
Kevin Ellis,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Eddie Ababio,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Aaron Horton,CLB,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Dicoy Williams,TOR,D,2,1,86,0,0,0,0,3,0,0,0,0,2012
Pari Pantazopoulos,CHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Josh Janniere,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jimmy McLaughlin,CIN,M,1,0,17,0,0,0,0,0,0,0,0,0,2012
Porfirio López,PHI,D,5,4,327,0,0,0,0,4,1,0,0,0,2012
Josh Suggs,SJ ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Luis Perea,DAL,D,2,0,15,0,0,0,0,0,0,0,0,0,2012
Scott Gordon,CHV,D,3,0,23,0,0,0,0,2,0,0,0,0,2012
Tiago Ulisses,VAN,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Raphael Augusto,DC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Leone Cruz,RSL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Harrison Henao,COL,M,1,0,22,0,0,0,0,0,0,0,0,0,2012
Sebastián Rincón,POR,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Daniel Steres ,LA,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Alex Lee,DAL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
John Lozano,NE ,D,2,2,155,0,0,0,0,3,2,0,1,0,2012
Kellen Gulley,CHI,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jose Angulo,NY ,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jhonny Arteaga,NY ,F,5,0,17,0,0,0,0,1,0,0,0,0,2012
Ryan Maduro,NY ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Eduardo Sebrango,MTL,F,7,1,120,0,0,0,0,0,2,3,0,0,2012
Marvin Iraheta,CHV,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Caleb Clarke,VAN,F,2,0,15,0,0,0,0,0,0,0,0,0,2012
Karl Ouimette,MTL,D,2,0,66,0,0,0,0,1,0,0,0,0,2012
Shane O'Neill,SEA,D,1,0,4,0,0,0,0,0,0,0,0,0,2012
Michael Roach,NE ,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Krystian Witkowski ,PHI,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Ryan Kawulok,POR,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Cesar Diaz Pizarro,SJ ,F,1,0,29,0,0,0,0,1,0,1,0,0,2012
Kyle Miller,KC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Greg Klazura ,VAN,D-M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Charles Renken,POR,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Cyprian Hedrik,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jacob Hustedt,SJ ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Kenney Walker,LA ,M,1,1,45,0,0,0,0,1,0,0,0,0,2012
Tony Walls,CHI,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Kohei Yamada,COL,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Lance Rozeboom ,DC ,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Enzo Martinez,RSL,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Colin Rolfe ,HOU,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Tyler Polak,NE ,D,1,0,30,0,0,0,0,0,2,0,0,0,2012
Shawn Singh,KC ,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Babayele Sodade,SEA,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Diogo de Almeida,RSL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Gienir García,MTL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Rafael Garcia ,LA ,D,1,0,5,0,0,0,0,0,0,0,0,0,2012
Evan James,MTL,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Greg Jordan,PHI,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Hunter Jumper,CHI,D,5,0,48,0,0,0,0,3,1,0,0,0,2012
Tommy Meyer,LA ,D,8,7,660,0,0,0,0,2,0,0,0,0,2012
Aubrey Perry,CLB,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Nico Muñiz,RSL,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
Bryce Alderson,VAN,M,0,0,0,0,0,0,0,0,0,0,0,0,2012
José Adolfo Valencia,POR,F,0,0,0,0,0,0,0,0,0,0,0,0,2012
Ian Hogg,POR,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Jonathan Borrajo,NY ,D,1,0,74,0,0,0,0,1,0,0,0,0,2012
Andrew Duran,SEA,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Chris Estridge,RSL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Stephen Keel,NY ,D,9,6,501,0,0,0,0,3,2,1,1,0,2012
Bobby Burling,CHV,D,3,3,270,0,0,0,0,8,3,0,1,0,2012
Shavar Thomas,MTL,D,15,13,1255,0,0,0,0,8,4,0,2,0,2012
Anthony Wallace,COL,D,0,0,0,0,0,0,0,0,0,0,0,0,2012
Sainey Nyassi,NE ,M,1,0,11,0,0,0,0,0,0,0,0,0,2012
